freestyle,10x50m,MUNICOY,Carla,5:57.61,Bédarieux,06/07/2014
,,LASSEYE,Benjamin
,,MARTY,Kaitlyn
,,ROSSIGNOL,Perrine
,,SISSMAN,Marila
,,GATOUNES,Robin
,,OMS,Gil
,,GUILLEMAND,Benjamin
,,MUNICOY,Léa
,,TORRENT,Thibault
